topic:,freq_days,total_count,avg_count_per_day,share_days
1_conference_2018 earnings_2017 earnings_2017 financial earnings,2,52,26.0,1.0
36_self driving_uber_vehicle_driving,1,39,39.0,0.5
3_tariffs trade china_china tariffs_tariffs china_trump tariffs,1,37,37.0,0.5
31_spending_congress_congressional_funding,1,35,35.0,0.5
27_fy earnings_earnings_eikon coverage earnings_net earnings,1,33,33.0,0.5
131_pricing_ipo_priced_initial public offering,1,30,30.0,0.5
45_fy earnings_eikon coverage earnings_earnings_total earnings,1,30,30.0,0.5
4_fy earnings_earnings_operating earnings_net earnings,1,29,29.0,0.5
8_shareholder_lawsuit filed_shareholders_litigation,1,17,17.0,0.5
